instruction,input,output,category
Ceritakan secara singkat tentang Mahendradatta dan signifikansinya bagi masyarakat setempat.,,"Dia mengandung putra pertamanya, Airlangga, berusia 30-an, cukup terlambat untuk wanita di Jawa dan Bali kuno. Namun, ada spekulasi yang menyatakan bahwa Mahendradatta mungkin sudah menikah sebelum Udayana. Dengan demikian Airlangga bukan putra kandung dari raja Udayana, ia dikandung dari persatuan sebelumnya dengan seorang pria yang tidak dikenal, bahwa setelah perpisahannya (baik karena kematian atau perceraian) ia kemudian ditunangkan dengan raja Bali, dan ia membawa bayi Airlangga ke Bali. Sumber-sumber sejarah tampaknya dihilangkan atas dugaan pernikahan Mahendradatta sebelumnya, bahwa itu mungkin sebuah skandal atau bahkan tidak terjadi. Kecurigaan ini adalah karena meskipun Airlangga adalah putra tertua Mahendradatta, anehnya dia tidak terpilih sebagai putra mahkota Bali, adiknya Marakata dan kemudian Anak Wungçu naik ke takhta Bali sebagai gantinya. Selain itu, Mahendradatta mengirim Airlangga kembali ke Jawa selama masa remajanya. Mahendradatta diketahui mempromosikan kultus Durga di Bali, dan anehnya kemudian dikaitkan dengan legenda penyihir jahat Rangda Bali, yang diterjemahkan menjadi ""janda"".",Sejarah_Nusantara
Ceritakan secara singkat tentang Jorge Rafael Videla dan signifikansinya bagi masyarakat setempat.,,"Sejarah awal Videla bangkit sewaktu ketidakstabilan ekonomi dan politik di Argentina pada awal hingga pertengahan 1970-an. Pada 1973 Perón telah kembali berkuasa di negara ini tetapi pada usia yang tua ia tidak mampu memperbaiki keadaan negaranya. Setahun kemudian, Videla meninggal dunia dan jabatannya disandang oleh isterinya Isabel Perón, bekas penari kelab malam yang tak berpengalaman di dalam politik. Dalam usahanya untuk mendapat sokongan tentara, Isabel telah melantik Videla sebagai Panglima Teringgi, jabatan tertinggi di dalam angkatan tentara Argentina. Tindakan ini seperti memakan diri sendiri karena Videla melancarkan perebutan kekuasaan dan sukses menjatuhkan pemerintahan Perón pada 24 Maret 1976, dan menjadi presiden de facto sebagai ketua junta militer dan bersekutu dalam kekuasaan dengan Komandan Jenderal Angkatan Udara yaitu Orlando Ramón Agosti dan LetKol Angkatan Laut, Laksamana Eduardo Emilio Massera. Beberapa hari selepas itu, pada 29 Maret 1976, Videla secara resmi menjadi Presiden Argentina, jabatan yang disandang hingga 29 Maret 1981.",Sejarah_Nusantara
Deskripsikan John Fleming (naturalis) sebagai bagian dari kekayaan budaya Nusantara.,,"1821: Bersel dalam Suplemen untuk keempat, kelima dan keenam edisi Encyclopaedia Britannica, dengan awal disertasi tentang sejarah ilmu 1822: Filsafat ilmu Hewan (Volume 1, Volume 2) 1828: Sejarah British hewan, menunjukkan deskriptif karakter yang sistematis dan penataan genera dan spesies hewan berkaki empat, burung, reptil, ikan, mollusca, dan radiata dari Inggris Raya, termasuk masyarakat adat, punah , dan punah jenis, bersama-sama dengan berkala dan sesekali visitants Edinburgh: i–xxiii + 1-565. 1837: Molluscous Hewan 1851: Suhu Musim, dan Pengaruhnya pada benda-Benda Anorganik, dan pada Tumbuhan dan Hewan",Sejarah_Nusantara
Jelaskan apa itu 1 Raja-raja 11 dalam konteks budaya dan tradisi Indonesia.,,"1 Raja-raja 11 (atau I Raja-raja 11, disingkat 1Raj 11) adalah bagian dari Kitab 1 Raja-raja dalam Alkitab Ibrani dan Perjanjian Lama di Alkitab Kristen. Dalam Alkitab Ibrani termasuk Nabi-nabi Awal atau Nevi'im Rishonim [נביאים ראשונים] dalam bagian Nevi'im (נביאים; Nabi-nabi).",Sejarah_Nusantara
Ceritakan secara singkat tentang Kebaktian Rakyat Indonesia Sulawesi dan signifikansinya bagi masyarakat setempat.,,"Kebaktian Rakyat Indonesia Sulawesi atau disingkat KRIS adalah sebuah organisasi perjuangan kemerdekaan Indonesia. KRIS terbentuk di Jakarta namun anggotanya adalah orang-orang yang berasal dari Sulawesi dan Indonesia Timur. Cikal bakal KRIS dapat dirunut dari orang-orang Minahasa di Jakarta seperti Ventje Sumual dan Evert Langkai yang dilibatkan dalam unit semi militer bernama Choku-eitai. Unit ini dibentuk oleh Laksamana Tadashi Maeda demi keperluan sabotase, kontraintelijen, dan pengintaian.",Sejarah_Nusantara
Apa yang dimaksud dengan Sayo' Keladi dan bagaimana keberadaannya dalam budaya Indonesia?,,"Keladi sendiri dengan bahasa ilmiahnya Cololasia Esculenta, merupakan jenis tanaman umbi yang dapat ditemukan di tanah lembap, maupun berair dan berlumpur.Diperkirakan tumbuh menyebar di Asia Tenggara. Ciri-ciri tanaman adalah berdaun tunggal yang berwarna hijau, berbentuk seperti parisai, ibu tulang daun membesar, sehingga membaut tanaman ini mudah untuk beradaptasi di air yang tergenang. Satu tahun Keladi biasanya memiliki 2-5 helai daun keladi. Ditinjau dari sejarah, sayo'Keladi merupakan salah satu makanan tradisional. Sayo'Keladi diperkirakan telah dikenal oleh masyarakat sejak dibukanya lahan di samping Tiga Sungai Kapuas,kemungkinan besar bibit keladi jenis lainnya didapatkan masyarakat setempat dari pendatang yang berkepentingan singgah atau menetap di kawasan penduduk bagian timur Pontianak.",Sejarah_Nusantara
Apa yang dimaksud dengan Cheondogyo dan bagaimana keberadaannya dalam budaya Indonesia?,,"Cheondogyo (arti: Agama Jalan Surga) atau Cheondoisme adalah agama Korea yang menggabungkan unsur-unsur Konfusianisme, Buddhisme, Taoisme, Shamanisme dan Katolik Roma. Awalnya kepercayaan ini dinamakan Donghak (Pembelajaran Timur). Prinsip dasar agama ini adalah ""Manusia dan Tuhan adalah satu"" yang dinyatakan dalam bentuk keimanan dengan penyatuan tubuh dan jiwa dengan Tuhan. Penganut Cheondogyo melakukan meditasi, berdoa saat keluar dan masuk rumah, menganjurkan untuk berpikir positif, serta pergi ke gereja pada hari Minggu. Choe Je-u (1824-1864) mendirikan paham ini konon setelah menerima ilham dari kaisar langit. Namun upayanya dalam melakukan revolusi sosial menyebabkannya dieksekusi. Penerus Choe adalah Choe Si-hyeong yang mencoba menyebarkannya ke masyarakat. Saat ini, diperkirakan terdapat 3 juta jiwa penganut Cheondogyo di Korea.",Budaya_Tradisi
Ceritakan secara singkat tentang Pusamania dan signifikansinya bagi masyarakat setempat.,,"Sejarah Berawal dari mantan pemain nasional Bambang Nurdiansyah yang bergabung dengan Persatuan Sepak Bola Putra Mahakam (PUMA) pada medio tahun 1994 saat Kompetisi masih berlabel Kompetisi ""Kodak Galatama"" 1994/1995. Bambang sempat terkejut di kota yang relatif kecil pada waktu itu dan jauh dari hangar bingar sepak bola Indonesia ternyata virus sepak bola tumbuh subur di kota Samarinda. Pada Tahun ini terjadi perubahan elementer pada tubuh managemen PS Putra Mahakam, yaitu PS Putra mahakam berubah nama menjadi PS Putra Samarinda.",Sejarah_Nusantara
Jelaskan asal-usul dan fungsi Gubernur-Jenderal Korea dalam tradisi masyarakat Indonesia.,,"Sejarah Setelah aneksasi Korea ke Jepang pada tahun 1910, kantor Residen-Jenderal digantikan oleh kantor Gubernur-Jenderal. Namun, posisi itu unik di antara kepemilikan eksternal Jepang, karena Gubernur-Jenderal telah menyapu kekuatan penuh, dan posisi tersebut juga mensyaratkan pengawasan yudisial dan beberapa kekuasaan legislatif. Ia juga memiliki kekuatan peradilan terbatas; dengan perintahnya, seseorang yang tinggal di wilayah Gubernur-Jenderal dapat dipenjara hingga satu tahun atau dijatuhi hukuman denda tidak lebih dari 200 yen. Namun, tentara Korea tidak tunduk kepada Gubernur-Jenderal.",Sejarah_Nusantara
Deskripsikan Ja'far ash-Shadiq sebagai bagian dari kekayaan budaya Nusantara.,,"Ja'far ash-Shadiq (Bahasa Arab: جعفر الصادق), nama lengkapnya adalah Ja'far bin Muhammad bin Ali bin Husain bin Ali bin Abu Thalib, adalah Imam ke-6 dalam tradisi Syi'ah. Ia lahir di Madinah pada tanggal 17 Rabiul Awwal 83 Hijriyah / 20 April 702 Masehi (M), dan meninggal pada tanggal 25 Syawal 148 Hijriyah / 13 Desember 765 M. Ja'far yang juga dikenal dengan julukan Abu Abdillah dimakamkan di Pekuburan Baqi', Madinah. Ia merupakan ahli ilmu agama dan ahli hukum Islam (fiqih). Aturan-aturan yang dikeluarkannya menjadi dasar utama bagi mazhab Ja'fari atau Dua Belas Imam; ia pun dihormati dan menjadi guru bagi kalangan Sunni karena riwayat yang menyatakan bahwa ia menjadi guru bagi Abu Hanifah (pendiri Mazhab Hanafi) dan Malik bin Anas (pendiri Mazhab Maliki). Perbedaan tentang siapa yang menjadi Imam setelahnya menjadikan mazhab Ismailiyah berbeda pandangan dengan mazhab Dua Belas Imam.",Budaya_Tradisi
